difficulty,task_id,model_family,model_name,run_times,max_turns,failure_num,num_correct,total_samples,accuracy,,,
easy,swap,gpt,o4-mini-2025-04-16,run_1,20,0,9,10,0.9,2477.714286,0.48,6619.428571
easy,random_small,gpt,o4-mini-2025-04-16,run_1,20,0,8,10,0.8,4111.238095,,
easy,consequece,gpt,o4-mini-2025-04-16,run_1,20,0,4,10,0.4,7707.428571,,
easy,xor_seq,gpt,o4-mini-2025-04-16,run_1,20,0,1,10,0.1,9600,,
easy,palindrome,gpt,o4-mini-2025-04-16,run_1,20,0,2,10,0.2,9200.761905,,
hard,random_big,gpt,o4-mini-2025-04-16,run_1,20,0,3,10,0.3,4909.714286,0.22,6220.8
hard,greater,gpt,o4-mini-2025-04-16,run_1,20,0,1,10,0.1,6844.952381,,
hard,path,gpt,o4-mini-2025-04-16,run_1,20,0,5,10,0.5,2389.333333,,
hard,matrixmul,gpt,o4-mini-2025-04-16,run_1,20,0,1,10,0.1,5827.047619,,
hard,count,gpt,o4-mini-2025-04-16,run_1,20,0,2,10,0.2,5260.190476,,
hard,arbitrary,gpt,o4-mini-2025-04-16,run_1,20,0,0,10,0,6198.857143,,
hard,and_tree,gpt,o4-mini-2025-04-16,run_1,20,0,3,10,0.3,5205.333333,,
hard,add,gpt,o4-mini-2025-04-16,run_1,20,0,2,10,0.2,9773.714286,,
hard,consequece_k,gpt,o4-mini-2025-04-16,run_1,20,0,5,10,0.5,9030.095238,,
hard,compare,gpt,o4-mini-2025-04-16,run_1,20,0,0,10,0,6768.761905,,
easy,swap,gemini,gemini-2.5-pro_thinking,run_1,20,0,4,10,0.4,10687.04762,0.62,11700.85714
easy,random_small,gemini,gemini-2.5-pro_thinking,run_1,20,0,9,10,0.9,8136.761905,,
easy,consequece,gemini,gemini-2.5-pro_thinking,run_1,20,0,10,10,1,8755.761905,,
easy,xor_seq,gemini,gemini-2.5-pro_thinking,run_1,20,0,6,10,0.6,16377.19048,,
easy,palindrome,gemini,gemini-2.5-pro_thinking,run_1,20,0,2,10,0.2,14547.52381,,
hard,random_big,gemini,gemini-2.5-pro_thinking,run_1,20,0,4,10,0.4,11806.95238,0.37,11844.7381
hard,greater,gemini,gemini-2.5-pro_thinking,run_1,20,0,1,10,0.1,13991.90476,,
hard,path,gemini,gemini-2.5-pro_thinking,run_1,20,0,4,10,0.4,9797.047619,,
hard,matrixmul,gemini,gemini-2.5-pro_thinking,run_1,20,0,0,10,0,12828.14286,,
hard,count,gemini,gemini-2.5-pro_thinking,run_1,20,0,2,10,0.2,13773.95238,,
hard,arbitrary,gemini,gemini-2.5-pro_thinking,run_1,20,0,0,10,0,15352.38095,,
hard,and_tree,gemini,gemini-2.5-pro_thinking,run_1,20,0,10,10,1,2936.619048,,
hard,add,gemini,gemini-2.5-pro_thinking,run_1,20,0,4,10,0.4,16062.19048,,
hard,consequece_k,gemini,gemini-2.5-pro_thinking,run_1,20,0,9,10,0.9,8931.952381,,
hard,compare,gemini,gemini-2.5-pro_thinking,run_1,20,0,3,10,0.3,12966.2381,,
easy,swap,gemini,gemini-2.5-flash_thinking,run_1,20,0,2,10,0.2,4963.142857,0.24,9010.342857
easy,random_small,gemini,gemini-2.5-flash_thinking,run_1,20,0,6,10,0.6,2770.095238,,
easy,consequece,gemini,gemini-2.5-flash_thinking,run_1,20,0,2,10,0.2,9666.666667,,
easy,xor_seq,gemini,gemini-2.5-flash_thinking,run_1,20,0,0,10,0,13514.38095,,
easy,palindrome,gemini,gemini-2.5-flash_thinking,run_1,20,0,2,10,0.2,14137.42857,,
hard,random_big,gemini,gemini-2.5-flash_thinking,run_1,20,0,3,10,0.3,9663.285714,0.17,12072.26667
hard,greater,gemini,gemini-2.5-flash_thinking,run_1,20,0,1,10,0.1,18330.47619,,
hard,path,gemini,gemini-2.5-flash_thinking,run_1,20,0,4,10,0.4,7857.52381,,
hard,matrixmul,gemini,gemini-2.5-flash_thinking,run_1,20,0,0,10,0,13503.7619,,
hard,count,gemini,gemini-2.5-flash_thinking,run_1,20,0,1,10,0.1,15737.66667,,
hard,arbitrary,gemini,gemini-2.5-flash_thinking,run_1,20,0,0,10,0,12970.42857,,
hard,and_tree,gemini,gemini-2.5-flash_thinking,run_1,20,0,7,10,0.7,2711.52381,,
hard,add,gemini,gemini-2.5-flash_thinking,run_1,20,0,0,10,0,16089.66667,,
hard,consequece_k,gemini,gemini-2.5-flash_thinking,run_1,20,0,1,10,0.1,8712.238095,,
hard,compare,gemini,gemini-2.5-flash_thinking,run_1,20,0,0,10,0,15146.09524,,
