difficulty,task_id,model_family,model_name,run_times,max_turns,failure_num,num_correct,total_samples,accuracy,,,
easy,algebraic_operations,gpt,o3-2025-04-16,run_1,29,1,33,35,0.942857143,3697.882353,0.929437229,
easy,fib_recursion,gpt,o3-2025-04-16,run_1,30,1,22,35,0.628571429,5361.6,,
easy,bubble_sort,gpt,o3-2025-04-16,run_1,28,1,32,35,0.914285714,5867.885714,,
easy,highprecision_divide,gpt,o3-2025-04-16,run_1,29,1,28,30,0.933333333,2539,,
easy,highprecision_add,gpt,o3-2025-04-16,run_1,30,1,30,30,1,2816,,
easy,factorial_recursion,gpt,o3-2025-04-16,run_1,29,1,30,30,1,769.0666667,,
easy,kmp,gpt,o3-2025-04-16,run_1,30,1,35,35,1,1930.352941,,
easy,quicksort_recursion,gpt,o3-2025-04-16,run_1,28,1,30,30,1,2744.774194,,
easy,exgcd,gpt,o3-2025-04-16,run_1,30,1,30,30,1,2528,,
easy,most_frequent_char,gpt,o3-2025-04-16,run_1,29,1,34,35,0.971428571,1426.550725,,
easy,coins_for_fowls,gpt,o3-2025-04-16,run_1,28,1,25,30,0.833333333,2771.393939,,
hard,arithmetic_slices,gpt,o3-2025-04-16,run_1,30,1,30,30,1,3845.333333,,0.742063492
hard,mergesort_recursion,gpt,o3-2025-04-16,run_1,29,1,24,35,0.685714286,5348.345679,,
hard,heap_sort,gpt,o3-2025-04-16,run_1,29,1,20,35,0.571428571,9357.714286,,
hard,manacher,gpt,o3-2025-04-16,run_1,30,1,23,30,0.766666667,5115.675676,,
hard,complex_algebraic_operations,gpt,o3-2025-04-16,run_1,29,1,23,35,0.657142857,5912,,
hard,sieve_of_eratosthenes,gpt,o3-2025-04-16,run_1,30,1,27,35,0.771428571,4083.027027,,
easy,algebraic_operations,gemini,gemini-2.5-pro_thinking,run_1,28.5,1,26,35,0.742857143,5305.853333,0.88961039,
easy,fib_recursion,gemini,gemini-2.5-pro_thinking,run_1,28.5,1,29,35,0.828571429,6093.223684,,
easy,bubble_sort,gemini,gemini-2.5-pro_thinking,run_1,29.5,1,33,35,0.942857143,4504.115942,,
easy,highprecision_divide,gemini,gemini-2.5-pro_thinking,run_1,28.5,1,20,30,0.666666667,3185.133333,,
easy,highprecision_add,gemini,gemini-2.5-pro_thinking,run_1,28.5,1,30,30,1,1695.33871,,
easy,factorial_recursion,gemini,gemini-2.5-pro_thinking,run_1,28.5,1,30,30,1,1985.196721,,
easy,kmp,gemini,gemini-2.5-pro_thinking,run_1,28.5,1,35,35,1,3550.191176,,
easy,quicksort_recursion,gemini,gemini-2.5-pro_thinking,run_1,27.5,1,30,30,1,2117.365079,,
easy,exgcd,gemini,gemini-2.5-pro_thinking,run_1,27.5,1,30,30,1,3337.571429,,
easy,most_frequent_char,gemini,gemini-2.5-pro_thinking,run_1,28.5,1,27,35,0.771428571,3027.184211,,
easy,coins_for_fowls,gemini,gemini-2.5-pro_thinking,run_1,29.5,1,25,30,0.833333333,6527.028986,,
hard,arithmetic_slices,gemini,gemini-2.5-pro_thinking,run_1,27.5,1,28,30,0.933333333,4430.5,,0.554761905
hard,mergesort_recursion,gemini,gemini-2.5-pro_thinking,run_1,29.5,1,21,35,0.6,4631.049383,,
hard,heap_sort,gemini,gemini-2.5-pro_thinking,run_1,29.5,1,12,35,0.342857143,4452.255556,,
hard,manacher,gemini,gemini-2.5-pro_thinking,run_1,29.5,1,11,30,0.366666667,4094.975,,
hard,complex_algebraic_operations,gemini,gemini-2.5-pro_thinking,run_1,28.5,1,14,35,0.4,4401,,
hard,sieve_of_eratosthenes,gemini,gemini-2.5-pro_thinking,run_1,28.5,1,24,35,0.685714286,6757.602564,,
easy,algebraic_operations,gemini,gemini-2.5-flash_thinking,run_1,28.5,1,27,35,0.771428571,271.76,0.668831169,
easy,fib_recursion,gemini,gemini-2.5-flash_thinking,run_1,28.5,1,20,35,0.571428571,595.6987952,,
easy,bubble_sort,gemini,gemini-2.5-flash_thinking,run_1,28.5,1,21,35,0.6,1225.775,,
easy,highprecision_divide,gemini,gemini-2.5-flash_thinking,run_1,29.5,1,19,30,0.633333333,347.1805556,,
easy,highprecision_add,gemini,gemini-2.5-flash_thinking,run_1,28.5,1,13,30,0.433333333,419.8518519,,
easy,factorial_recursion,gemini,gemini-2.5-flash_thinking,run_1,29.5,1,30,30,1,206.7666667,,
easy,kmp,gemini,gemini-2.5-flash_thinking,run_1,29.5,1,23,35,0.657142857,1504.936709,,
easy,quicksort_recursion,gemini,gemini-2.5-flash_thinking,run_1,27.5,1,18,30,0.6,172.5921053,,
easy,exgcd,gemini,gemini-2.5-flash_thinking,run_1,28.5,1,21,30,0.7,226.3194444,,
easy,most_frequent_char,gemini,gemini-2.5-flash_thinking,run_1,29.5,1,30,35,0.857142857,399.92,,
easy,coins_for_fowls,gemini,gemini-2.5-flash_thinking,run_1,29.5,1,16,30,0.533333333,870.5810811,,
hard,arithmetic_slices,gemini,gemini-2.5-flash_thinking,run_1,28.5,1,16,30,0.533333333,1377.153846,,0.415873016
hard,mergesort_recursion,gemini,gemini-2.5-flash_thinking,run_1,28.5,1,17,35,0.485714286,882.3176471,,
hard,heap_sort,gemini,gemini-2.5-flash_thinking,run_1,28.5,1,10,35,0.285714286,6657.195652,,
hard,manacher,gemini,gemini-2.5-flash_thinking,run_1,28.5,1,4,30,0.133333333,2913.505618,,
hard,complex_algebraic_operations,gemini,gemini-2.5-flash_thinking,run_1,27.5,1,15,35,0.428571429,359.7647059,,
hard,sieve_of_eratosthenes,gemini,gemini-2.5-flash_thinking,run_1,28.5,1,22,35,0.628571429,5541.05,,
easy,algebraic_operations,deepseek,deepseek-chat,run_1,30,1,24,35,0.685714286,0,0.699134199,
easy,fib_recursion,deepseek,deepseek-chat,run_1,30,1,25,35,0.714285714,0,,
easy,bubble_sort,deepseek,deepseek-chat,run_1,30,1,21,35,0.6,0,,
easy,highprecision_divide,deepseek,deepseek-chat,run_1,30,1,18,30,0.6,0,,
easy,highprecision_add,deepseek,deepseek-chat,run_1,30,1,28,30,0.933333333,0,,
easy,factorial_recursion,deepseek,deepseek-chat,run_1,30,1,29,30,0.966666667,0,,
easy,kmp,deepseek,deepseek-chat,run_1,30,1,25,35,0.714285714,0,,
easy,quicksort_recursion,deepseek,deepseek-chat,run_1,29,1,15,30,0.5,0,,
easy,exgcd,deepseek,deepseek-chat,run_1,28,1,23,30,0.766666667,0,,
easy,most_frequent_char,deepseek,deepseek-chat,run_1,30,1,26,35,0.742857143,0,,
easy,coins_for_fowls,deepseek,deepseek-chat,run_1,30,1,14,30,0.466666667,0,,
hard,arithmetic_slices,deepseek,deepseek-chat,run_1,30,1,14,30,0.466666667,0,,0.313492063
hard,mergesort_recursion,deepseek,deepseek-chat,run_1,29,1,13,35,0.371428571,0,,
hard,heap_sort,deepseek,deepseek-chat,run_1,30,1,11,35,0.314285714,0,,
hard,manacher,deepseek,deepseek-chat,run_1,30,1,3,30,0.1,0,,
hard,complex_algebraic_operations,deepseek,deepseek-chat,run_1,30,1,11,35,0.314285714,0,,
hard,sieve_of_eratosthenes,deepseek,deepseek-chat,run_1,30,1,11,35,0.314285714,0,,
