difficulty,task_id,model_family,model_name,run_times,max_turns,failure_num,num_correct,total_samples,accuracy,,,
easy,caesar_cipher,gpt,o4-mini-2025-04-16,run_1,10,0,2,8,0.25,4648.421053,7203.640025,0.568181818
easy,01248_encryption_1,gpt,o4-mini-2025-04-16,run_1,10,0,0,8,0,7494.4,,
easy,01248_encryption_2,gpt,o4-mini-2025-04-16,run_1,10,0,2,8,0.25,7872,,
easy,fib_cipher,gpt,o4-mini-2025-04-16,run_1,10,0,7,8,0.875,7218.526316,,
easy,bacon_cipher,gpt,o4-mini-2025-04-16,run_1,10,0,0,8,0,8862.608696,,
easy,zigzag_cipher,gpt,o4-mini-2025-04-16,run_1,10,0,7,8,0.875,6800.842105,,
easy,curve_cipher,gpt,o4-mini-2025-04-16,run_1,10,0,8,8,1,11494.4,,
easy,adhxz_encryption,gpt,o4-mini-2025-04-16,run_1,10,0,7,8,0.875,8960,,
easy,backpack_encryption,gpt,o4-mini-2025-04-16,run_1,10,0,5,8,0.625,7181.473684,,
easy,simple_substitution,gpt,o4-mini-2025-04-16,run_1,10,0,8,8,1,1957.052632,,
easy,idx_shift_encryption,gpt,o4-mini-2025-04-16,run_1,10,0,4,8,0.5,6750.315789,,
hard,positional_keyword_cipher,gpt,o4-mini-2025-04-16,run_1,10,0,0,8,0,10300.63158,7878.579746,0.125
hard,frequency_encryption,gpt,o4-mini-2025-04-16,run_1,10,0,0,8,0,8542.315789,,
hard,rsa_encryption,gpt,o4-mini-2025-04-16,run_1,10,0,0,8,0,6524.8,,
hard,compositional_encryption,gpt,o4-mini-2025-04-16,run_1,10,0,1,8,0.125,6379.789474,,
hard,sequential_feedback_cipher,gpt,o4-mini-2025-04-16,run_1,10,0,0,8,0,7262.47619,,
hard,playfair_cipher,gpt,o4-mini-2025-04-16,run_1,10,0,0,8,0,8226,,
hard,vigenere_encryption,gpt,o4-mini-2025-04-16,run_1,10,0,5,8,0.625,5416.421053,,
hard,dynamic_curve_cipher,gpt,o4-mini-2025-04-16,run_1,9,0,2,8,0.25,10968.88889,,
hard,hill_cipher,gpt,o4-mini-2025-04-16,run_1,10,0,0,8,0,7285.894737,,
easy,caesar_cipher,gemini,gemini-2.5-pro_thinking,run_1,9.5,0,0,8,0,2138.631579,6464.846411,0.306818182
easy,01248_encryption_1,gemini,gemini-2.5-pro_thinking,run_1,9.5,0,6,8,0.75,5551.421053,,
easy,01248_encryption_2,gemini,gemini-2.5-pro_thinking,run_1,9.5,0,3,8,0.375,7301.684211,,
easy,fib_cipher,gemini,gemini-2.5-pro_thinking,run_1,9.5,0,0,8,0,4976.578947,,
easy,bacon_cipher,gemini,gemini-2.5-pro_thinking,run_1,9.5,0,0,8,0,11819.9,,
easy,zigzag_cipher,gemini,gemini-2.5-pro_thinking,run_1,9.5,0,2,8,0.25,11574.7,,
easy,curve_cipher,gemini,gemini-2.5-pro_thinking,run_1,9.5,0,1,8,0.125,6742.684211,,
easy,adhxz_encryption,gemini,gemini-2.5-pro_thinking,run_1,9.5,0,0,8,0,8578.210526,,
easy,backpack_encryption,gemini,gemini-2.5-pro_thinking,run_1,9.5,0,8,8,1,5848.789474,,
easy,simple_substitution,gemini,gemini-2.5-pro_thinking,run_1,9.5,0,3,8,0.375,3129.5,,
easy,idx_shift_encryption,gemini,gemini-2.5-pro_thinking,run_1,9.5,0,4,8,0.5,3451.210526,,
hard,positional_keyword_cipher,gemini,gemini-2.5-pro_thinking,run_1,9.5,0,0,8,0,9361.315789,8208.359649,0.083333333
